period_days,duration_hours,depth_ppm,prad_re,teff_k,logg_cgs,srad_rsun,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec
2.698021895,23.192,6721.2,52.51,6568.0,4.36,1.211,0.0,1.0,0.0,0.0
2.2437501,3.821,2880.0,10.0826,7209.0,4.06,1.96,0.0,0.0,0.0,0.0
18.0161227,4.016,499.5,2.39,6245.0,4.406,1.065,0.0,0.0,0.0,0.0
8.236486,3.214,1238.5,2.0,5930.0,4.497,0.923,0.0,0.0,0.0,0.0
11.45541896,4.95,68.6,1.12,6231.0,4.276,1.356,0.0,0.0,0.0,0.0
1.674,3.214,1238.5,3.96,6115.49,4.32901,1.21742,0.0,0.0,0.0,0.0
56.40651043,18.4332,102290.0,21.93,5011.0,4.617,0.647,0.0,1.0,0.0,0.0
0.755105584,5.02374,250030.0,76.26,6592.0,4.369,1.19,0.0,1.0,0.0,0.0
11.60653061,2.194,771.7,1.88,4703.0,4.582,0.701,0.0,0.0,0.0,0.0
2.16146908,3.643,84.8,0.95,6047.0,4.422,1.013,0.0,1.0,0.0,1.0
7.340714946,2.9987,8510.5,14.31,6056.0,4.191,1.498,0.0,0.0,0.0,0.0
3.1523405,3.111,6440.0,12.6359,6124.0,4.13,1.54,0.0,0.0,0.0,0.0
23.899595,2.0395157,15998.7683282,12.8307536,4736.5,4.55,0.76962,0.0,0.0,0.0,0.0
1.4182984,0.654,2124.0,9.60116,9267.0,4.32,1.75,0.0,0.0,0.0,0.0
2.9098435,1.928,9480.0,13.2842,5955.0,4.24,1.31,0.0,0.0,0.0,0.0
15.6594,3.214,1238.5,37.0,5718.0,4.411,4.0,0.0,0.0,0.0,0.0
19.0054098,1.843,542.4,28.47,6347.0,4.423,1.036,0.0,0.0,0.0,0.0
1.092917,3.214,1238.5,3.96,7226.47,4.14565,1.78223,0.0,0.0,0.0,0.0
20.6915,3.214,1238.5,2.1,5718.0,4.411,0.64,0.0,0.0,0.0,0.0
3.1540886,1.662,23864.0,11.8788,4521.0,4.55,0.74,0.0,0.0,0.0,0.0
36.9870862,3.771,5950.0,8.83849,6110.1,4.38,1.14,0.0,0.0,0.0,0.0
34.9524256,1.717,677.0,21.74,4921.0,4.591,0.779,0.0,0.0,0.0,0.0
3.4977868,2.236,1790.0,3.47575,5356.0,4.59,0.81,0.0,0.0,0.0,0.0
6.40087137,2.5561,133.6,1.91,5426.0,4.107,1.421,0.0,0.0,0.0,0.0
3.003901,3.8750477,10093.1737819,16.7208629,6052.0,4.1353,1.50633,0.0,0.0,0.0,0.0
3.6860654,3.531,6642.0,12.7501,6206.0,4.02,1.76,0.0,0.0,0.0,0.0
0.8334976,1.452144,3841.4834968,9.0185699,6071.0,4.2,1.3925,0.0,0.0,0.0,0.0
22.0632969,2.2329319,4597.497672,10.1729473,5762.0,4.44,1.0093499,0.0,0.0,0.0,0.0
734.4987702,2.529,1004.0,2.1838,4953.9,4.59,0.76,0.0,0.0,0.0,0.0
2.168451063,1.458,466.9,2.41,6153.0,4.382,1.109,0.0,0.0,0.0,0.0
4.0248735,2.384,23775.0,11.6786,4492.0,4.52,0.75,0.0,0.0,0.0,0.0
237.26601,8.74,150.4,1.23,5786.0,4.402,1.007,1.0,0.0,0.0,0.0
24.1738244,3.056,532.6,2.21,5468.0,4.427,0.968,0.0,0.0,0.0,0.0
7.6746614,1.9374,503.0,2.8,6063.0,4.47,1.001,0.0,0.0,0.0,0.0
361.43653,9.08,271.9,1.56,6028.0,4.398,0.938,1.0,0.0,1.0,0.0
3.9353218,3.169,8020.0,20.2069,5806.0,3.78,2.17,0.0,0.0,0.0,0.0
22.06402,4.1,388.7,2.67,6232.0,4.432,1.09,0.0,0.0,0.0,0.0
22.631964,3.214,1238.5,2.86,5519.0,4.43,0.97,0.0,0.0,0.0,0.0
1.33256944,3.89,20.6,0.46,5655.0,4.431,0.998,0.0,0.0,1.0,1.0
2.6400663,3.368,1328.0,18.2671,5155.0,4.411,2.72,0.0,0.0,0.0,0.0
9.76897,3.214,1238.5,3.96,5388.0,4.411,1.2,0.0,0.0,0.0,0.0
6.8552506,3.525,4540.0,11.7073,6847.0,4.02,1.96,0.0,0.0,0.0,0.0
21.0907909,4.751,417.6,1.88,5723.0,4.546,0.818,0.0,0.0,0.0,0.0
8.866,3.214,1238.5,3.96,5368.0,4.71954,0.697439,0.0,0.0,0.0,0.0
110.089267,1.575,1018.0,2.4,5465.0,4.6,0.75,0.0,0.0,0.0,0.0
3.9854465,4.5181131,8800.6144816,16.4220671,5904.0,4.0,1.71105,0.0,0.0,0.0,0.0
3.3421583,1.284,14573.0,16.3017,6022.0,4.15,1.46,0.0,0.0,0.0,0.0
13.24931848,4.4859,647.6,2.86,5799.0,4.361,1.078,0.0,0.0,0.0,0.0
3.209,3.214,1238.5,3.96,5060.51,4.411,0.910204,0.0,0.0,0.0,0.0
25.575065,3.214,1238.5,1.45,4499.0,4.66,0.66,0.0,0.0,0.0,0.0
39.4718663,6.186,7758.0,16.3498,10416.0,4.35,1.82,0.0,0.0,0.0,0.0
4.845561,3.214,1238.5,3.96,5723.1,4.32206,1.15426,0.0,0.0,0.0,0.0
22.77194512,10.1995,30246.0,251.93,5073.0,3.02,4.61,0.0,1.0,1.0,1.0
19.563092517,6.9547,12992.0,23.76,6208.0,3.959,1.831,0.0,1.0,0.0,0.0
7.51114,3.214,1238.5,2.98,5718.0,4.411,0.643,0.0,0.0,0.0,0.0
52.75878505,6.6517,5805.8,8.76,6228.0,4.413,1.137,0.0,0.0,0.0,0.0
0.6296,0.309,790.0,3.39154,5485.0,4.64,0.77,0.0,0.0,0.0,0.0
19.96367208,2.6403,270.9,1.5,5250.0,4.541,0.79,0.0,0.0,0.0,0.0
19.441899,3.214,1238.5,4.15,2601.0,4.411,0.11,0.0,0.0,0.0,0.0
0.8102219,0.737,820.0,7.01523,6329.0,3.92,2.03,0.0,0.0,0.0,0.0
